State	Spending	SAT
Alabama	8562	1596
Alaska	17390	1504
Arizona	7559	1541
Arkansas	9411	1680
California	9183	1503
Colorado	8548	1718
Connecticut	16274	1528
Delaware	13865	1362
District of Columbia	17468	1382
Florida	8372	1460
Georgia	9247	1452
Hawaii	12054	1445
Idaho	6659	1613
Illinois	12015	1798
Indiana	9719	1470
Iowa	10038	1789
Kansas	9748	1739
Kentucky	9391	1720
Louisiana	11379	1607
Maine	12189	1394
Maryland	13609	1487
Massachusetts	14142	1551
Michigan	10855	1763
Minnesota	10796	1771
Mississippi	8164	1656
Missouri	9436	1756
Montana	10464	1583
Nebraska	11275	1723
Nevada	8223	1450
New Hampshire	13593	1556
New Jersey	17266	1511
New Mexico	8899	1625
New York	19552	1458
North Carolina	8200	1469
North Dakota	11679	1766
Ohio	11204	1620
Oklahoma	7466	1680
Oregon	9490	1542
Pennsylvania	13340	1472
Rhode Island	14005	1466
South Carolina	9147	1431
South Dakota	8446	1769
Tennessee	8294	1712
Texas	8261	1434
Utah	6206	1682
Vermont	16040	1547
Virginia	10656	1517
Washington	9637	1552
West Virginia	11445	1515
Wisconsin	11042	1776
Wyoming	15897	1695